AIRPORT,Year,total_flights
SYDNEY,2019,324144
SYDNEY,2020,121975
SYDNEY,2021,124931
SYDNEY,2022,252447
SYDNEY,2023,295767
SYDNEY,2024,99498
TOWNSVILLE,2009,23537
TOWNSVILLE,2010,28264
TOWNSVILLE,2011,28645
TOWNSVILLE,2012,27679
TOWNSVILLE,2013,27231
TOWNSVILLE,2014,25741
TOWNSVILLE,2015,25133
TOWNSVILLE,2016,25601
TOWNSVILLE,2017,25763
TOWNSVILLE,2018,24470
TOWNSVILLE,2019,24057
TOWNSVILLE,2020,15058
TOWNSVILLE,2021,19831
TOWNSVILLE,2022,23572
TOWNSVILLE,2023,24934
TOWNSVILLE,2024,7652
