AIRPORT,Year,INBOUND FRIEGHT,OUTBOUND FREIGHT,INBOUND MAIL,OUTBOUND MAIL
CANBERRA,2006-07,0.0,0.0,0.0,0.0
CANBERRA,2007-08,0.0,0.0,0.0,0.0
CANBERRA,2008-09,0.0,0.0,0.0,0.0
CANBERRA,2009-10,0.0,0.0,0.0,0.0
CANBERRA,2010-11,0.0,0.0,0.0,0.0
CANBERRA,2011-12,0.0,0.0,0.0,0.0
CANBERRA,2012-13,0.0,0.0,0.0,0.0
CANBERRA,2013-14,0.0,0.0,0.0,0.0
CANBERRA,2014-15,0.0,0.0,0.0,0.0
CANBERRA,2015-16,0.0,0.0,0.0,0.0
CANBERRA,2016-17,467.369,82.53,0.0,0.0
CANBERRA,2017-18,517.787,23.178,0.01,0.001
CANBERRA,2018-19,78.369,5.091,0.019,0.002
CANBERRA,2019-20,30.378,155.993,0.008,0.003
CANBERRA,2020-21,0.505,0.0,0.0,0.0
CANBERRA,2021-22,0.0,0.0,0.0,0.0
CANBERRA,2022-23,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,1985-86,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,1986-87,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,1987-88,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,1988-89,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,1989-90,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,1990-91,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,1991-92,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,1992-93,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,1993-94,102.758,0.0,11.598,0.045
CHRISTMAS ISLAND,1994-95,239.443,0.0,33.99,0.0
CHRISTMAS ISLAND,1995-96,120.612,17.938,0.0,1.327
CHRISTMAS ISLAND,1996-97,22.634,1.253,0.0,0.0
CHRISTMAS ISLAND,1997-98,38.239,0.065,16.464,0.0
CHRISTMAS ISLAND,1998-99,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,1999-00,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2000-01,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2001-02,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2002-03,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2003-04,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2004-05,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2005-06,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2006-07,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2007-08,72.287,0.463,16.155,0.0
CHRISTMAS ISLAND,2008-09,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2009-10,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2010-11,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2011-12,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2012-13,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2013-14,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2014-15,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2015-16,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2016-17,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2017-18,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2018-19,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2019-20,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2020-21,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2021-22,0.0,0.0,0.0,0.0
CHRISTMAS ISLAND,2022-23,0.0,0.0,0.0,0.0
DARWIN,1985-86,142.931,470.353,0.038,2.613
DARWIN,1986-87,128.932,509.1,0.037,3.716
DARWIN,1987-88,369.326,547.802,1.676,4.921
DARWIN,1988-89,728.739,505.791,3.236,5.972
DARWIN,1989-90,471.713,1045.105,3.755,6.897
DARWIN,1990-91,314.996,969.15,2.892,5.645
DARWIN,1991-92,202.127,1281.668,2.837,5.059
DARWIN,1992-93,207.685,1016.148,9.352,5.411
DARWIN,1993-94,248.944,1334.539,11.077,7.834
DARWIN,1994-95,226.131,1543.701,12.472,7.629
DARWIN,1995-96,334.805,1532.389,12.743,7.894
DARWIN,1996-97,373.271,1115.219,12.499,9.143
DARWIN,1997-98,593.337,1199.249,13.979,9.768
DARWIN,1998-99,383.11,982.883,13.877,9.409
DARWIN,1999-00,743.156,1115.869,56.339,18.85
DARWIN,2000-01,728.189,831.243,67.192,31.011
DARWIN,2001-02,420.801,916.392,65.205,46.05
DARWIN,2002-03,277.967,453.787,42.946,34.173
DARWIN,2003-04,331.36,435.67,28.254,20.237
DARWIN,2004-05,410.934,261.359,22.444,102.93
DARWIN,2005-06,397.909,158.479,12.886,153.892
DARWIN,2006-07,149.266,177.9,5.043,59.607
DARWIN,2007-08,127.03,170.558,0.0,0.0
DARWIN,2008-09,339.984,60.585,0.0,0.0
DARWIN,2009-10,317.02,99.421,0.0,2.646
DARWIN,2010-11,263.234,172.497,0.0,0.0
DARWIN,2011-12,186.896,129.352,0.001,5.85
DARWIN,2012-13,260.453,59.683,0.003,17.728
DARWIN,2013-14,354.561,46.279,0.877,3.203
DARWIN,2014-15,325.594,87.068,0.0,0.0
DARWIN,2015-16,275.458,101.968,0.0,0.0
DARWIN,2016-17,298.718,128.159,0.0,0.0
DARWIN,2017-18,359.858,121.812,0.0,0.0
DARWIN,2018-19,315.15,160.298,0.131,0.0
DARWIN,2019-20,201.13,78.496,0.0,0.0
DARWIN,2020-21,22.514,21.379,0.0,0.0
DARWIN,2021-22,179.797,138.512,0.0,15.292
DARWIN,2022-23,167.244,234.537,0.224,25.994
GOLD COAST,1986-87,0.0,0.0,0.0,0.0
GOLD COAST,1987-88,0.0,0.0,0.0,0.0
GOLD COAST,1988-89,0.0,0.0,0.0,0.0
GOLD COAST,1989-90,0.0,0.0,0.0,0.0
GOLD COAST,1990-91,0.0,0.0,0.0,0.0
GOLD COAST,1991-92,0.0,0.0,0.0,0.0
GOLD COAST,1992-93,0.0,0.0,0.0,0.0
GOLD COAST,1993-94,0.0,0.0,0.0,0.0
GOLD COAST,1994-95,0.0,0.0,0.0,0.0
GOLD COAST,1995-96,0.0,0.0,0.0,0.0
GOLD COAST,1996-97,0.0,0.0,0.0,0.0
GOLD COAST,1997-98,0.0,0.0,0.0,0.0
GOLD COAST,1998-99,0.0,0.0,0.0,0.0
